{'algo': 'baseline', 'seed': (98539, 77708), 'lr': 0.0001, 'accuracy': 0.8113875069098949, 'lb': 1.0337338364207282, 'pval': 1.0, 'bal_acc': 0.8281614371806629, 'gap_rms_gen': 0.14821890059178994, 'mean_gap_gen': 0.14174272693583542, 'max_gap_gen': 0.18507679959733475, 'average_odds_difference_gen': -0.14174272693583542, 'equal_opportunity_difference_gen': -0.0984086542743361, 'statistical_parity_difference_gen': -0.2935305366998968, 'gap_rms_race': 0.04802562343095957, 'mean_gap_race': 0.04406066120662569, 'max_gap_race': 0.06316873907875303, 'average_odds_difference_race': -0.04406066120662569, 'equal_opportunity_difference_race': -0.024952583334498346, 'statistical_parity_difference_race': -0.11397911675838884}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.01, 'accuracy': 0.8093974571586512, 'lb': 2.3079759117950287, 'pval': 0.0, 'bal_acc': 0.8249522731479801, 'gap_rms_gen': 0.14111152818011044, 'mean_gap_gen': 0.11614291135941326, 'max_gap_gen': 0.19628832623940234, 'average_odds_difference_gen': -0.11614291135941326, 'equal_opportunity_difference_gen': -0.035997496479424185, 'statistical_parity_difference_gen': -0.29378878165455613, 'gap_rms_race': 0.05794166237718362, 'mean_gap_race': 0.053726965953845934, 'max_gap_race': 0.07542142073901664, 'average_odds_difference_race': -0.053726965953845934, 'equal_opportunity_difference_race': -0.032032511168675226, 'statistical_parity_difference_race': -0.12916158222311375}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.0004, 'accuracy': 0.8061912658927585, 'lb': 1.0749888859337398, 'pval': 1.0, 'bal_acc': 0.8183995989310571, 'gap_rms_gen': 0.16600715196438415, 'mean_gap_gen': 0.15431178195034728, 'max_gap_gen': 0.21551838661548625, 'average_odds_difference_gen': -0.15431178195034728, 'equal_opportunity_difference_gen': -0.09310517728520828, 'statistical_parity_difference_gen': -0.3162617181791622, 'gap_rms_race': 0.06634413208425606, 'mean_gap_race': 0.05882989807297022, 'max_gap_race': 0.08949888818900029, 'average_odds_difference_race': -0.05882989807297022, 'equal_opportunity_difference_race': -0.02816090795694015, 'statistical_parity_difference_race': -0.13590200384365067}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.0001, 'accuracy': 0.8061912658927585, 'lb': 1.039181693745496, 'pval': 1.0, 'bal_acc': 0.8183995989310571, 'gap_rms_gen': 0.16600715196438415, 'mean_gap_gen': 0.15431178195034728, 'max_gap_gen': 0.21551838661548625, 'average_odds_difference_gen': -0.15431178195034728, 'equal_opportunity_difference_gen': -0.09310517728520828, 'statistical_parity_difference_gen': -0.3162617181791622, 'gap_rms_race': 0.06634413208425606, 'mean_gap_race': 0.05882989807297022, 'max_gap_race': 0.08949888818900029, 'average_odds_difference_race': -0.05882989807297022, 'equal_opportunity_difference_race': -0.02816090795694015, 'statistical_parity_difference_race': -0.13590200384365067}
{'algo': 'sensr', 'seed': (98539, 77708), 'lr': 0.0001, 'accuracy': 0.7517965726920951, 'lb': 1.0159415776538012, 'pval': 1.0, 'bal_acc': 0.7506353989257173, 'gap_rms_gen': 0.04686660860680571, 'mean_gap_gen': 0.04467711097540024, 'max_gap_gen': 0.05883460924293629, 'average_odds_difference_gen': -0.014157498267536053, 'equal_opportunity_difference_gen': 0.030519612707864185, 'statistical_parity_difference_gen': -0.1420750782064651, 'gap_rms_race': 0.05802546350787034, 'mean_gap_race': 0.05786025174847749, 'max_gap_race': 0.06223582975669539, 'average_odds_difference_race': -0.05786025174847749, 'equal_opportunity_difference_race': -0.06223582975669539, 'statistical_parity_difference_race': -0.09909966126612046}
{'algo': 'sensr', 'seed': (98539, 77708), 'lr': 0.0004, 'accuracy': 0.7517965726920951, 'lb': 1.0587565929623945, 'pval': 1.0, 'bal_acc': 0.7506353989257173, 'gap_rms_gen': 0.04686660860680571, 'mean_gap_gen': 0.04467711097540024, 'max_gap_gen': 0.05883460924293629, 'average_odds_difference_gen': -0.014157498267536053, 'equal_opportunity_difference_gen': 0.030519612707864185, 'statistical_parity_difference_gen': -0.1420750782064651, 'gap_rms_race': 0.05802546350787034, 'mean_gap_race': 0.05786025174847749, 'max_gap_race': 0.06223582975669539, 'average_odds_difference_race': -0.05786025174847749, 'equal_opportunity_difference_race': -0.06223582975669539, 'statistical_parity_difference_race': -0.09909966126612046}
{'algo': 'sensr', 'seed': (5192, 98047), 'lr': 0.01, 'accuracy': 0.7907131011608624, 'lb': 1.3082231990449096, 'pval': 0.0, 'bal_acc': 0.7829291128314477, 'gap_rms_gen': 0.11177657010833181, 'mean_gap_gen': 0.11177572899343755, 'max_gap_gen': 0.11220935690815204, 'average_odds_difference_gen': -0.11177572899343755, 'equal_opportunity_difference_gen': -0.11220935690815204, 'statistical_parity_difference_gen': -0.21914944915044784, 'gap_rms_race': 0.046234557624901126, 'mean_gap_race': 0.04512246199723048, 'max_gap_race': 0.0552020325277042, 'average_odds_difference_race': -0.04512246199723048, 'equal_opportunity_difference_race': -0.035042891466756765, 'statistical_parity_difference_race': -0.10515743666037031}
{'algo': 'sensr', 'seed': (98539, 77708), 'lr': 0.003, 'accuracy': 0.7517965726920951, 'lb': 1.2514901508986938, 'pval': 0.006470685097910267, 'bal_acc': 0.7506353989257173, 'gap_rms_gen': 0.04686660860680571, 'mean_gap_gen': 0.04467711097540024, 'max_gap_gen': 0.05883460924293629, 'average_odds_difference_gen': -0.014157498267536053, 'equal_opportunity_difference_gen': 0.030519612707864185, 'statistical_parity_difference_gen': -0.1420750782064651, 'gap_rms_race': 0.05802546350787034, 'mean_gap_race': 0.05786025174847749, 'max_gap_race': 0.06223582975669539, 'average_odds_difference_race': -0.05786025174847749, 'equal_opportunity_difference_race': -0.06223582975669539, 'statistical_parity_difference_race': -0.09909966126612046}
{'algo': 'sensr', 'seed': (98539, 77708), 'lr': 0.01, 'accuracy': 0.7517965726920951, 'lb': 1.39852476673396, 'pval': 0.0, 'bal_acc': 0.7506353989257173, 'gap_rms_gen': 0.04686660860680571, 'mean_gap_gen': 0.04467711097540024, 'max_gap_gen': 0.05883460924293629, 'average_odds_difference_gen': -0.014157498267536053, 'equal_opportunity_difference_gen': 0.030519612707864185, 'statistical_parity_difference_gen': -0.1420750782064651, 'gap_rms_race': 0.05802546350787034, 'mean_gap_race': 0.05786025174847749, 'max_gap_race': 0.06223582975669539, 'average_odds_difference_race': -0.05786025174847749, 'equal_opportunity_difference_race': -0.06223582975669539, 'statistical_parity_difference_race': -0.09909966126612046}
{'algo': 'baseline', 'seed': (21440, 98448), 'lr': 0.0001, 'accuracy': 0.8071862907683803, 'lb': 1.0419193116098693, 'pval': 1.0, 'bal_acc': 0.8262704041490471, 'gap_rms_gen': 0.17456259402621327, 'mean_gap_gen': 0.16599858021917147, 'max_gap_gen': 0.22000386327907073, 'average_odds_difference_gen': -0.16599858021917147, 'equal_opportunity_difference_gen': -0.1119932971592722, 'statistical_parity_difference_gen': -0.3238142286518857, 'gap_rms_race': 0.0674441134995819, 'mean_gap_race': 0.052869701744247946, 'max_gap_race': 0.09474455199136825, 'average_odds_difference_race': -0.052869701744247946, 'equal_opportunity_difference_race': -0.010994851497127645, 'statistical_parity_difference_race': -0.13602961336992564}
